anio,nombre,sexo_registral,frecuencia
2003,Benjamín,M,6776
2003,Catalina,F,5454
2003,Matías,M,4563
2003,Javiera,F,4479
2003,Valentina,F,4424
2003,Constanza,F,4270
2003,María,F,3761
2003,Diego,M,3618
2003,Sebastián,M,3512
2003,Fernanda,F,3240
2003,Nicolás,M,2973
2003,Antonia,F,2872
2003,Vicente,M,2785
2003,Francisca,F,2760
2003,José,M,2566
2003,Camila,F,2544
2003,Felipe,M,2528
2003,Juan,M,2296
2003,Joaquín,M,2185
2003,Sofía,F,2151
2003,Francisco,M,2130
2003,Martín,M,2114
2003,Ignacio,M,1977
2003,Daniela,F,1772
2003,Javier,M,1768
2003,Martina,F,1749
2003,Bastián,M,1708
2003,Luis,M,1618
2003,Cristóbal,M,1493
2003,Isidora,F,1472
2003,Daniel,M,1445
2003,Carlos,M,1356
2003,Tomás,M,1344
2003,Pablo,M,1294
2003,Cristian,M,1259
2003,Gabriel,M,1256
2003,Millaray,F,1214
2003,Rodrigo,M,1139
2003,Lucas,M,1133
2003,Belén,F,1123
2003,Jorge,M,1077
2003,Bárbara,F,1060
2003,Maximiliano,M,1057
2003,Fernando,M,996
2003,Kevin,M,982
2003,David,M,930
2003,Josefa,F,928
2003,Renato,M,896
2003,Pía,F,889
2003,Monserrat,F,886
2003,Carla,F,859
2003,Natalia,F,852
2003,Fabián,M,850
2003,Carolina,F,813
2003,Camilo,M,792
2003,Víctor,M,785
2003,Alejandro,M,781
2003,Miguel,M,774
2003,Manuel,M,762
2003,Eduardo,M,761
2003,Marcelo,M,738
2003,Anaís,F,737
2003,Álvaro,M,727
2003,Paula,F,710
2003,Tamara,F,701
2003,Leandro,M,699
2003,Franco,M,687
2003,Esteban,M,683
2003,Ignacia,F,668
2003,Krishna,F,656
2003,Patricio,M,636
2003,Claudio,M,633
2003,Mauricio,M,630
2003,Katherine,F,625
2003,Paloma,F,624
2003,Nicole,F,623
2003,Pedro,M,623
2003,Karla,F,618
2003,Benjamin,M,616
2003,Ricardo,M,616
2003,Alonso,M,597
2003,Florencia,F,582
2003,Sergio,M,582
2003,Rocío,F,581
2003,Agustín,M,572
2003,Gabriela,F,572
2003,Alexander,M,564
2003,Alejandra,F,560
2003,Angel,M,558
2003,Renata,F,542
2003,Genesis,F,539
2003,Cristopher,M,536
2003,Gonzalo,M,523
2003,Andrés,M,522
2003,Macarena,F,522
2003,Brayan,M,501
2003,Oscar,M,498
2003,Jonathan,M,496
2003,Claudia,F,492
2003,Paz,F,490
2003,Paulina,F,478
2003,Alan,M,477
2003,Ariel,M,474
2003,Romina,F,467
2003,Victoria,F,454
2003,Alexis,M,439
2003,Brandon,M,432
2003,Bryan,M,431
2003,Matias,M,427
2003,Marco,M,424
2003,Leonardo,M,422
2003,Valeria,F,421
2003,Alexandra,F,420
2003,Ana,F,417
2003,Antonella,F,415
2003,Jean,M,408
2003,Kiara,F,403
2003,Bruno,M,396
2003,Jesús,M,396
2003,Katalina,F,390
2003,Roberto,M,383
2003,Consuelo,F,378
2003,Gustavo,M,377
2003,César,M,374
2003,Emilia,F,373
2003,Héctor,M,368
2003,Michelle,F,368
2003,Alex,M,367
2003,Amanda,F,365
2003,Dafne,F,356
2003,Luciano,M,353
2003,Iván,M,348
2003,Angela,F,347
2003,Thiare,F,347
2003,Angelo,M,346
2003,Maura,F,341
2003,Sebastian,M,340
2003,Guillermo,M,335
2003,Rafael,M,331
2003,Tiare,F,331
2003,Jeremy,M,326
2003,Jordán,M,325
2003,Maite,F,316
2003,Lukas,M,312
2003,Samuel,M,310
